id_news,event,category,address,latitud,longitud
53.427.494,usuarios denunciaron hecho través redes,ciencia,Santiago,-33.4377756,-70.6504502
53.877.912,centrocampista sufrió esguince ligamento rodilla,deportes,Varsovia,52.2319581,21.0067249
53.594.498,empresa refirió lunes multa contra,internacional,RelacionadaDetalle('1140041,,
53.565.756,logró detener sujetos marco robo,accidentes,Tango,-8.0941534,15.6359226
53.878.949,carabinero franco identificado sargento años,accidentes,Teatro Caupolicán,-33.4562166,-70.64923855
53.412.387,medio operativo búsqueda persona lanzado,ciencia,Mapocho,-23.6120366,-70.3843901
53.521.950,joven golpes pies puños palo,accidentes,Barrio Bohemio de Osorno,,
53.876.911,O\'Higgins empataron estadio fecha tiempo,deportes,Rancagua,-34.170249,-70.7407427
53.525.301,reaccionaron anuncio empresa suspender manera,politica,la “,20.0171109,103.378253
53.522.583,actor sufrió accidente piscina vacacionaba,accidentes,Ibiza,38.974390099999994,1.4197463178515335
53.880.020,autoridades salud gobiernos exsubsecretaria exministro,tecnologia,Ministerio de Salud,-33.4364906,-70.6470553
53.561.077,través video tiendas comunicó cerrarán,salud,Eurocentro,-33.442100100000005,-70.65030385455051
53.556.284,dólar abre mañana alza mercado,economia,China,35.000074,104.999927
53.406.952,NoticiasInformación hechos mano reportero fuentes,deportes,estadio Alejandro Villanueva,-12.0685041,-77.0229272261725
53.559.469,Recibió reconocimiento parte municipio región,ciencia,ACHS,46.8083389,7.9534957
53.879.062,reveló encuentro humorista confrontado comunicador,deportes,Mega,39.0989771,139.8809418
53.558.656,viernes realizó audiencia control detención,ciencia,detención,19.90257115,-75.10142153355606
53.427.539,nombre africano historia ganar metros,deportes,Español,24.0501867,-104.6300772
53.420.774,semanas manifestantes salido calles destinos,medio_ambiente,España,39.3260685,-4.8379791
53.555.226,lluvia dirá acuerdo pronóstico tiempo,accidentes,Mega,39.0989771,139.8809418
53.562.194,tropas rescataron rehén operación rescate,accidentes,“,,
53.611.906,sindicato anunciado martes huelga inseguridad,politica,Policía de Bangladesh,,
53.411.666,QUILLOTA.- participó operativo terminó detención,accidentes,La Tetera,-32.893911,-71.2382056
53.417.819,despedido trabajadores » ataques octubre,ciencia,interés,42.2452079,1.707166939113658
53.408.671,NoticiasInformación hechos mano reportero fuentes,politica,“,,
53.554.096,auto práctica sacado circulación mañana,accidentes,Puente Alto,-33.6095279,-70.5754736
53.407.245,NoticiasInformación hechos mano reportero fuentes,medio_ambiente,Hidrología del Perú,-12.0791994,-77.0428641
53.522.346,amplía alianza implementar tecnología plantas,tecnologia,Aspen DMC3,,
53.556.042,madrugada miércoles agosto horas temblor,accidentes,Centro Sismológico de la Universidad de Chile,,
53.580.886,anunció llegada sistema viento lluvia,accidentes,Canal 13,-33.4968745,-59.6616873
53.571.063,tecnología factor clave sector automoción,tecnologia,Los ADAS,34.0550697,-118.388787
53.876.939,banda policías quedó prisión región,entretenimiento,Coquimbo,-30.7546652,-70.9005536
53.418.593,presidente informó través X reunió,internacional,ministro de Relaciones Exteriores,25.0387502,121.51631520197435
53.588.351,madrugada lunes agosto registró sismo,accidentes,Coquimbo,-30.7546652,-70.9005536
53.413.468,ministro detalló lunes mecanismo compensación,politica,Chile,-31.7613365,-71.3187697
53.876.807,adolescente años detenido sorprendido incumpliendo,ciencia,Lota,-37.0944533,-73.1564024
53.558.904,campeón cartas reveló entrevista historia,deportes,Hawaii,19.593801499999998,-155.42837009716908
53.654.556,parlamentario exigió vez todas ocupen,tecnologia,Temuco,-38.7358908,-72.590538
53.426.095,acuerdo datos organismo participaron elección,internacional,Español,24.0501867,-104.6300772
53.576.218,actriz anunció separación argentino años,entretenimiento,Matteo,48.2035786,16.351344
53.015.322,candidato dijo debatirá vicepresidenta demócrata,politica,Estados Unidos,39.7837304,-100.445882
53.015.136,semana asesinato líder comandante encuentra,internacional,Teherán,35.6892523,51.3896004
53.435.218,convirtió series 2024 término ciclo,entretenimiento,Casa Targaryen,,
53.559.788,oposición concitaron dichos trama protagoniza,politica,RN,43.946543250000005,12.630749019254939
53.559.011,diputados emitieron carta contralora s,politica,Renovación Nacional,-41.47029835,-72.9391994
53.413.443,recalcaron evitar personas expongan riesgo,accidentes,Valparaíso,-33.0458456,-71.6196749
53.554.083,meses rumores confirmó especulaciones pidió,entretenimiento,Tribunal Superior del Condado de Los Ángeles,,
53.580.910,Detectives desarticularon estructura comercialización droga,ciencia,Tren de Aragua,,
53.410.952,compañía teatro tendrá temporada funciones,entretenimiento,Teatro Odeón,45.6501578,10.261850002258871
53.555.527,sábado agosto realizará celebración Recordemos,accidentes,Alcalde Hernán Ahumada,,
53.561.031,jueves marco gira tiene dar,economia,Gobierno,12.1487483,-86.2728417
53.426.223,boletín pacientes registrado complicaciones Días,salud,Ministerio de Salud de Argentina,-38.9453269,-68.0780908
53.558.057,años disminuido posiciones ranking ecosistema,economia,Chile,-31.7613365,-71.3187697
53.413.785,anhelo concretó horas confirmarse incorporación,tecnologia,Contenidos de VTR,,
53.583.471,hecho domingo tienda reunión emergencia,internacional,Venezuela,8.0018709,-66.1109318
53.011.579,realizaron operativo incautaron kilos drogas,ciencia,“,,
53.708.158,asalto tuvo lugar comuna región,ciencia,Paillaco,-40.0706633,-72.8726695
53.557.093,plaza realizó conmemoración actividad feria,educacion,Adolescentes,5.3497271,-72.397881
53.417.675,mañana miércoles registró homicidio capital,ciencia,Pudahuel,-33.4193729,-70.86335607718577
53.595.474,2023 ministro laborista impuesto serie,economia,Gobierno del primer ministro,,
53.427.765,explicaron período marcha días enviarán,internacional,Ministerio de Transportes,-13.52377695,-71.96254447738836
53.555.163,alcalde refirió balacera local comuna,accidentes,Lo Prado,-33.44740825,-70.72338629127196
53.557.344,tarde sábado agosto vendedor asesinado,ciencia,Recoleta,-33.40587505,-70.63267815190596
53.412.677,emitió comunicado aclaró comunicación martes,ciencia,,44.933143,7.540121
53.416.487,Habitantes comuna provincia región visto,medio_ambiente,Curanilahue,-37.4758037,-73.3457069
53.562.048,reconocido reelección mandatario ratificó jueves,internacional,Tribunal Supremo de Justicia,-19.0433507,-65.2629486
53.654.656,asistentes elegir obras pintores paso,ciencia,Gran Noche Con El Arte,,
53.416.425,ministra abordó ataque sufrió funcionario,accidentes,Interior,43.726938,-101.984042
53.410.713,motivo aniversario ciudad preparación invita,deportes,Municipio de La Serena,-29.9022286,-71.2506717
53.011.516,informaron semáforos mantienen apagados fallas,accidentes,Transportes,-14.525948,40.69613827331503
53.561.912,líder régimen acusó aplicado sanciones,internacional,Estados Unidos,39.7837304,-100.445882
53.878.947,entregó balance sistema afecta regiones,ciencia,Pudahuel,-33.4193729,-70.86335607718577
53.879.243,vuelve jugar local desmanes barra,tecnologia,Estadio Bicentenario de La Florida,-33.540802400000004,-70.57818200736378
53.408.228,NoticiasInformación hechos mano reportero fuentes,educacion,El Ministerio de Educación,52.2177416,21.023209440080223
53.556.199,reportaje evidenció vida llevaba hizo,entretenimiento,Santiago,-33.4377756,-70.6504502
53.563.001,descendientes bacterias mitocondrias estudio demuestra,salud,Michigan,43.6211955,-84.6824346
53.523.007,diputado reveló participación agentes agentes,internacional,Venezuela,8.0018709,-66.1109318
53.555.419,Sujeto salía domicilio apuntó arma,accidentes,Ventanas,-1.32539155,-79.33515580593681
53.877.874,mujer años falleció ruta une,accidentes,Valdivia,-39.8141262,-73.2459859
53.583.464,tarde miércoles registró sismo magnitud,accidentes,Paposo,-25.0094441,-70.4653417
53.522.108,derecha región enfrenta dificultades definir,politica,Concepción,-36.8270795,-73.0502399
53.877.730,Facundo lonco detenido amenazar médico,politica,Hospital Intercultural,-37.7820617,-73.38600189048475
53.562.605,martes pasado sorprendió operación escala,internacional,Ucrania,49.4871968,31.2718321
53.418.197,través declaración mesa descartó miércoles,tecnologia,“,,
53.411.239,Gracias colaboración estudiantes comuna tenido,internacional,Fundación Educacional Oportunidad,,
53.634.663,martes agosto 2024 prensa empresa,deportes,Chicago,41.8755616,-87.6244212
53.553.855,flautista personas regiones concurso memoria,economia,la Metropolitana,7.7592394,-72.2138085
53.559.040,martes agosto comenzaron trabajos emblemáticas,accidentes,La Cruz,11.0088428,-85.55184913182646
53.556.699,destituyó viernes cargo gobernadora abandono,deportes,Coquimbo,-30.7546652,-70.9005536
53.611.810,líder dijo miércoles presidente entender,internacional,Venezuela,8.0018709,-66.1109318
53.011.475,director reunió alcaldes comunas cubre,politica,Sernac,-33.44331085,-70.65461554129854
53.878.309,anunció noche sábado decisión retirar,politica,Melipilla,-33.6855134,-71.2145796
53.557.439,realizando conciertos brindar música oportunidad,entretenimiento,Quinteto de Bronces,,
53.421.245,martes agosto celebrará evento lanzamiento,ciencia,Pixel,51.8937476,8.2985108
53.413.383,sujeto años conocido instalado artefacto,accidentes,La Reina,-33.44737295,-70.53341181233888
53.586.057,informó corte agua emergencia jueves,accidentes,Puerto Montt,-41.471798,-72.9395915
53.556.179,presentó resultados aplicó estudiantes prekínder,educacion,"72,4%",51.796650650000004,19.49820288880678
53.408.251,NoticiasInformación hechos mano reportero fuentes,ciencia,Tribunal Superior de la Unión Europea contra X,,
53.557.695,jueves agosto definieron monarcas vóleibol,deportes,Polideportivo Las Compañías,-29.877803800000002,-71.22057943838443
53.711.019,edición número talento dejado huella,entretenimiento,Chile,-31.7613365,-71.3187697
